"site_quadrat_id","SampleID","year","region","site","quadrat_id","meso_shoot_id","Thiohalorhabdaceae_Granulosicoccus","Microtrichaceae_uncultured","Hyphomonadaceae_Litorimonas","Flavobacteriaceae_Maribacter","Verrucomicrobiales_DEV007_uncultured","Micavibrionales_uncultured","Cellvibrionaceae_uncultured","Methylophilaceae_Methylotenera","Thiotrichaceae_Cocleimonas","Flavobacteriaceae_Winogradskyella","Rhodobacteraceae_Loktanella","Thiotrichaceae_Leucothrix","Sphingomonadaceae_Sphingorhabdus","Sphingomonadaceae_Altererythrobacter","Methylophilaceae_Methylophilus","Arenicellaceae_Arenicella","Chitinophagales_uncultured","Microtrichaceae_Sva0996_marine_group","Bdellovibrionaceae_OM27_clade","Spirosomaceae_Taeseokella","Saprospiraceae_Portibacter","Hyphomonadaceae_Robiginitomaculum","Rhodobacteraceae_Pacificibacter","Gammaproteobacteria_KI89A_clade","Gracilibacteria_JGI_0000069-P22","Flavobacteriaceae_Lacinutrix","Saprospiraceae_Lewinella","Rhizobiales_Rhizobiaceae","Midichloriaceae_MD3-55","Gracilibacteria_uncultured","Pirellulaceae_Pir4_lineage","Absconditabacteriales_(SR1)_uncultured","Methylophagaceae_uncultured","Flavobacteriaceae_Ichthyenterobacterium","Simkaniaceae_Candidatus_Fritschea"
"triquet_south_4","ZosTQSoldD17",2017,"triquet","triquet_south","4","na",1015,276,10,0,167,1,28,125,4,4,0,109,12,18,30,0,17,9,40,18,11,0,124,2,0,0,3,6,0,8,7,4,1,0,0
"triquet_south_3","ZosTQSoldC17",2017,"triquet","triquet_south","3","na",947,280,55,32,139,23,14,187,19,6,13,14,18,18,119,0,1,12,16,5,1,3,15,5,0,4,0,20,1,22,11,34,1,5,0
"triquet_south_1","ZosTQSoldB17",2017,"triquet","triquet_south","1","na",442,623,98,15,224,11,17,7,4,17,31,6,39,65,68,3,1,25,24,14,9,22,45,7,0,8,3,32,9,19,17,26,0,5,9
"triquet_south_2","ZosTQSoldA17",2017,"triquet","triquet_south","2","na",529,422,46,17,157,10,12,17,7,7,28,11,21,15,374,2,1,11,23,11,11,19,8,2,1,1,0,36,2,15,7,5,3,0,1
"choked_inner_6","ZosCIoldF18",2018,"choked","choked_inner","6","na",18,8,62,13,12,0,0,114,56,0,0,13,0,0,33,146,9,6,5,0,22,0,0,0,0,0,0,0,21,0,0,4,33,29,24
"choked_inner_4","ZosCIoldD18",2018,"choked","choked_inner","4","na",49,0,8,17,0,0,0,899,34,0,0,3,0,0,0,19,7,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2,0,0,16
"choked_inner_3","ZosCIoldC18",2018,"choked","choked_inner","3","na",8,7,67,18,50,0,0,514,71,0,9,0,3,8,15,39,3,9,14,0,14,3,4,0,0,5,0,3,10,25,0,9,0,0,6
"choked_inner_2","ZosCIoldB18",2018,"choked","choked_inner","2","na",43,9,131,18,0,0,0,605,56,0,33,5,0,9,0,31,38,11,0,0,0,10,0,0,0,11,0,0,39,0,0,0,0,133,34
"choked_inner_1","ZosCIoldA18",2018,"choked","choked_inner","1","na",12,5,24,0,4,0,14,422,26,0,6,12,2,4,25,50,0,0,0,5,7,0,0,3,0,0,0,0,1,0,0,0,5,0,0
"choked_sandspit_6","ZosCSSoldF18",2018,"choked","choked_sandspit","6","na",660,24,48,9,118,5,4,188,197,0,0,15,4,18,89,5,11,2,6,0,64,5,41,4,8,0,7,0,0,0,0,4,0,0,0
"choked_sandspit_5","ZosCSSoldE18",2018,"choked","choked_sandspit","5","na",296,197,35,7,27,1,6,57,293,0,0,4,2,42,6,193,11,3,7,0,28,7,5,3,7,0,12,0,4,8,0,29,0,0,0
"choked_sandspit_4","ZosCSSoldD18",2018,"choked","choked_sandspit","4","na",200,147,55,0,103,6,11,11,316,2,10,3,6,155,0,65,5,17,11,2,13,8,40,0,6,0,2,2,0,14,0,21,0,0,0
"choked_sandspit_3","ZosCSSoldC18",2018,"choked","choked_sandspit","3","na",151,11,28,15,17,0,21,313,13,6,0,9,0,3,78,12,1,0,2,0,18,2,0,0,0,0,3,3,0,0,0,2,135,0,0
"choked_sandspit_2","ZosCSSoldB18",2018,"choked","choked_sandspit","2","na",635,90,35,0,181,0,188,36,123,0,0,48,7,40,0,51,9,4,5,0,30,2,0,3,110,2,7,7,0,3,0,25,0,0,0
"choked_sandspit_1","ZosCSSoldA18",2018,"choked","choked_sandspit","1","na",217,150,146,9,37,5,29,21,298,0,0,14,3,89,4,226,10,2,4,0,4,9,7,0,17,7,8,0,10,19,0,14,5,0,0
"pruth_bay_6","ZosPBSoldF18",2018,"pruth","pruth_bay","6","na",547,54,18,49,0,0,16,146,0,116,64,0,0,0,356,11,6,0,13,9,2,8,0,0,0,18,188,0,0,0,0,0,0,0,0
"pruth_bay_5","ZosPBSoldE18",2018,"pruth","pruth_bay","5","na",303,47,8,15,0,3,59,1084,0,36,0,0,0,0,116,3,10,0,15,0,4,0,4,0,0,12,33,0,0,0,0,0,0,0,0
"pruth_bay_3","ZosPBSoldC18",2018,"pruth","pruth_bay","3","na",193,11,53,12,0,1,2,305,0,15,0,0,0,0,798,6,0,0,13,8,0,0,9,0,0,5,3,0,0,5,0,0,26,0,0
"pruth_bay_2","ZosPBSoldB18",2018,"pruth","pruth_bay","2","na",457,51,8,56,0,6,43,452,0,85,14,0,0,0,451,9,0,0,4,1,0,0,3,0,0,11,57,0,0,0,0,0,0,0,0
"pruth_bay_1","ZosPBSoldA18",2018,"pruth","pruth_bay","1","na",599,86,12,16,3,7,138,419,0,41,2,5,4,0,444,16,4,0,14,9,0,0,41,0,0,0,11,0,0,7,0,0,0,8,0
"pruth_pocket_6","ZosPBPoldF18",2018,"pruth","pruth_pocket","6","na",583,16,160,55,2,7,38,25,0,19,23,15,5,34,167,5,19,0,10,79,5,44,17,0,2,7,7,1,0,20,0,1,0,5,0
"pruth_pocket_5","ZosPBPoldE18",2018,"pruth","pruth_pocket","5","na",517,7,21,17,6,6,5,336,1,14,12,2,0,6,583,0,0,0,11,51,7,4,24,0,15,1,0,0,0,2,0,3,9,8,0
"pruth_pocket_4","ZosPBPoldD18",2018,"pruth","pruth_pocket","4","na",97,8,7,4,8,2,1,170,0,3,1,2,0,0,109,2,1,0,1,3,1,1,0,0,1,0,0,0,0,0,0,0,10,0,0
"pruth_pocket_3","ZosPBPoldC18",2018,"pruth","pruth_pocket","3","na",1855,84,48,17,3,6,3,42,0,9,0,0,0,0,58,3,5,0,1,2,2,0,3,0,0,8,9,0,0,1,4,0,0,0,0
"pruth_pocket_2","ZosPBPoldB18",2018,"pruth","pruth_pocket","2","na",353,183,302,44,82,13,14,10,5,27,13,0,17,23,149,0,4,0,4,10,13,2,19,0,2,98,44,0,0,8,4,0,0,10,0
"pruth_pocket_1","ZosPBPoldA18",2018,"pruth","pruth_pocket","1","na",164,27,139,24,41,7,5,31,0,13,3,3,3,18,521,11,18,0,8,26,12,8,14,0,4,23,16,0,0,34,0,1,0,9,0
"triquet_north_6","ZosTQNoldF18",2018,"triquet","triquet_north","6","na",274,28,29,26,6,9,0,232,43,0,3,8,0,0,14,0,0,18,0,0,2,7,47,3,1,1,1,0,0,0,0,10,0,0,5
"triquet_north_5","ZosTQNoldE18",2018,"triquet","triquet_north","5","na",70,111,73,3,18,1,22,13,21,5,0,6,3,20,898,0,27,6,0,0,18,5,7,5,7,0,29,3,1,24,1,10,5,2,2
"triquet_north_4","ZosTQNoldD18",2018,"triquet","triquet_north","4","na",48,98,126,151,29,12,1,30,42,0,4,1,2,24,0,1,0,60,5,2,4,1,4,3,2,0,0,1,0,19,0,6,0,0,104
"triquet_north_3","ZosTQNoldC18",2018,"triquet","triquet_north","3","na",73,3,0,16,7,0,0,1134,7,2,0,21,0,0,190,0,5,3,0,0,2,0,9,0,1,0,0,0,0,1,0,6,4,0,5
"triquet_north_2","ZosTQNoldB18",2018,"triquet","triquet_north","2","na",327,495,32,57,95,2,29,58,73,21,9,15,55,25,60,8,44,42,3,1,24,12,12,15,2,4,2,14,6,3,2,7,9,0,17
"triquet_north_1","ZosTQNoldA18",2018,"triquet","triquet_north","1","na",584,25,7,100,126,0,3,293,78,2,0,0,0,0,30,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,36
"triquet_south_6","ZosTQSoldF18",2018,"triquet","triquet_south","6","na",1169,591,19,6,68,0,37,24,5,17,0,9,39,26,36,5,3,24,23,9,13,2,0,3,0,9,7,3,11,1,15,0,0,0,0
"triquet_south_5","ZosTQSoldE18",2018,"triquet","triquet_south","5","na",749,496,36,25,72,0,51,51,6,3,29,6,41,12,119,0,1,25,68,17,23,10,24,32,0,16,14,13,21,0,15,0,3,0,0
"triquet_south_4","ZosTQSoldD18",2018,"triquet","triquet_south","4","na",33,17,4,62,3,0,1,340,6,0,6,0,0,1,601,0,2,0,7,1,2,0,5,1,12,0,0,1,0,8,2,1,7,0,0
"triquet_south_3","ZosTQSoldC18",2018,"triquet","triquet_south","3","na",290,287,18,18,41,11,38,8,6,31,42,118,14,0,164,0,1,34,9,14,11,6,0,5,0,6,25,20,6,1,4,0,0,0,2
"triquet_south_2","ZosTQSoldB18",2018,"triquet","triquet_south","2","na",929,419,0,11,54,1,66,35,2,11,0,12,16,7,44,5,1,37,34,7,40,2,0,3,0,0,8,0,4,0,3,0,8,0,6
"triquet_south_1","ZosTQSoldA18",2018,"triquet","triquet_south","1","na",533,419,50,40,70,10,10,38,5,61,63,15,18,9,77,8,1,32,6,22,19,4,0,2,0,6,47,21,13,2,15,2,4,0,6
