meadow,sample,Sieve size (mm),heterolaophonte variabillis shape,porcellidium shaped
sandspit,d,4,,
sandspit,d,2.8,,
sandspit,d,2,,
sandspit,d,1.4,,
sandspit,d,1,,
sandspit,d,0.71,,1
sandspit,d,0.5,,
sandspit,f,8,,
sandspit,f,5.6,,
sandspit,f,4,,
sandspit,f,2.8,,
sandspit,f,2,,
sandspit,f,1.4,,
sandspit,f,1,,
sandspit,f,0.71,,
sandspit,f,0.5,,
sandspit,e,8,,
sandspit,e,5.6,,
sandspit,e,4,,
sandspit,e,2.8,,
sandspit,e,2,,
sandspit,e,1.4,,
sandspit,e,1,,
sandspit,e,0.71,,1
sandspit,e,0.5,,
sandspit,c,8,,
sandspit,c,5.6,,
sandspit,c,4,,
sandspit,c,2.8,,
sandspit,c,2,,
sandspit,c,1.4,,
sandspit,c,1,,
sandspit,c,0.71,,
sandspit,c,0.5,,
south pigu,a,8,,
south pigu,a,5.6,,
south pigu,a,4,,
south pigu,a,2.8,,
south pigu,a,2,,
south pigu,a,1.4,,
south pigu,a,1,,
south pigu,a,0.71,,
south pigu,a,0.5,,
south pigu,b,8,,
south pigu,b,5.6,,
south pigu,b,4,,
south pigu,b,2.8,,
south pigu,b,2,,
south pigu,b,1.4,,
south pigu,b,1,,
south pigu,b,0.71,,
south pigu,b,0.5,,
south pigu,c,8,,
south pigu,c,5.6,,
south pigu,c,4,,
south pigu,c,2.8,,
south pigu,c,2,,
south pigu,c,1.4,,
south pigu,c,1,,
south pigu,c,0.71,,
south pigu,c,0.5,,
south pigu,d,8,,
south pigu,d,5.6,,
south pigu,d,4,,
south pigu,d,2.8,,
south pigu,d,2,,
south pigu,d,1.4,,
south pigu,d,1,,
south pigu,d,0.71,,
south pigu,d,0.5,,
south pigu,e,8,,
south pigu,e,5.6,,
south pigu,e,4,,
south pigu,e,2.8,,
south pigu,e,2,,
south pigu,e,1.4,,
south pigu,e,1,,
south pigu,e,0.71,,
south pigu,e,0.5,,
wolf inner 04.07.2015,d,8,,
wolf inner 04.07.2015,d,5.6,,
wolf inner 04.07.2015,d,4,,
wolf inner 04.07.2015,d,2.8,,
wolf inner 04.07.2015,d,2,,
wolf inner 04.07.2015,d,1.4,,
wolf inner 04.07.2015,d,1,,21
wolf inner 04.07.2015,d,0.71,21,130
wolf inner 04.07.2015,d,0.5,39,96
wolf inner 04.07.2015,f,8,,
wolf inner 04.07.2015,f,5.6,,
wolf inner 04.07.2015,f,4,,
wolf inner 04.07.2015,f,2.8,,
wolf inner 04.07.2015,f,2,,
wolf inner 04.07.2015,f,1.4,,
wolf inner 04.07.2015,f,1,,
wolf inner 04.07.2015,f,0.71,7,
wolf inner 04.07.2015,f,0.5,20,
spitfire,c,8,,
spitfire,c,5.6,,
spitfire,c,4,,
spitfire,c,2.8,,
spitfire,c,2,,
spitfire,c,1.4,,
spitfire,c,1,68,
spitfire,c,0.71,230,
spitfire,c,0.5,112,
,,8,,
,,5.6,,
,,4,,
,,2.8,,
,,2,,
,,1.4,,
,,1,,
,,0.71,,
,,0.5,,
wolf edge 06.07.2015,c,8,,
wolf edge 06.07.2015,c,5.6,,
wolf edge 06.07.2015,c,4,,
wolf edge 06.07.2015,c,2.8,,
wolf edge 06.07.2015,c,2,,
wolf edge 06.07.2015,c,1.4,,
wolf edge 06.07.2015,c,1,,34
wolf edge 06.07.2015,c,0.71,130,260
wolf edge 06.07.2015,c,0.5,97,390
wolf edge 06.07.2015,e,8,,
wolf edge 06.07.2015,e,5.6,,
wolf edge 06.07.2015,e,4,,
wolf edge 06.07.2015,e,2.8,,
wolf edge 06.07.2015,e,2,,
wolf edge 06.07.2015,e,1.4,,
wolf edge 06.07.2015,e,1,24,10
wolf edge 06.07.2015,e,0.71,180,220
wolf edge 06.07.2015,e,0.5,124,347
wolf edge 06.07.2015,"c (or maybe something else, though, this one had the origional label on it)",8,,
wolf edge 06.07.2015,"c (or maybe something else, though, this one had the origional label on it)",5.6,,
wolf edge 06.07.2015,"c (or maybe something else, though, this one had the origional label on it)",4,,
wolf edge 06.07.2015,"c (or maybe something else, though, this one had the origional label on it)",2.8,,
wolf edge 06.07.2015,"c (or maybe something else, though, this one had the origional label on it)",2,,
wolf edge 06.07.2015,"c (or maybe something else, though, this one had the origional label on it)",1.4,,
wolf edge 06.07.2015,"c (or maybe something else, though, this one had the origional label on it)",1,56,
wolf edge 06.07.2015,"c (or maybe something else, though, this one had the origional label on it)",0.71,290,310
wolf edge 06.07.2015,"c (or maybe something else, though, this one had the origional label on it)",0.5,344,560
,,8,,
,,5.6,,
,,4,,
,,2.8,,
,,2,,
,,1.4,,
,,1,,
,,0.71,,
,,0.5,,
,,,,
