query,Class,Family,Genus,Infraclass,Infraorder,Kingdom,Order,Parvorder,Phylum,Section,Species,Subclass,Subfamily,Suborder,Subphylum,Subsection,Subterclass,Superclass,Superfamily,Superorder,Tribe
Porcellidium,Hexanauplia,Porcellidiidae,Porcellidium,Neocopepoda,NA,Animalia,Harpacticoida,NA,Arthropoda,NA,NA,Copepoda,NA,NA,Crustacea,NA,NA,Multicrustacea,NA,Podoplea,NA
Protohyale,Malacostraca,Hyalidae,Protohyale,NA,Talitrida,Animalia,Amphipoda,Talitridira,Arthropoda,NA,NA,Eumalacostraca,Hyalinae,Senticaudata,Crustacea,NA,NA,Multicrustacea,Hyaloidea,Peracarida,NA
Pugettia,Malacostraca,Epialtidae,Pugettia,NA,Brachyura,Animalia,Decapoda,NA,Arthropoda,Eubrachyura,NA,Eumalacostraca,Epialtinae,Pleocyemata,Crustacea,Heterotremata,NA,Multicrustacea,Majoidea,Eucarida,NA
Pycnogonida,Pycnogonida,NA,NA,NA,NA,Animalia,NA,NA,Arthropoda,NA,NA,NA,NA,NA,Chelicerata,NA,NA,NA,NA,NA,NA
Solasteridae,Asteroidea,Solasteridae,NA,NA,NA,Animalia,Valvatida,NA,Echinodermata,NA,NA,NA,NA,NA,Asterozoa,NA,NA,NA,NA,Valvatacea,NA
Sphaeromatidae,Malacostraca,Sphaeromatidae,NA,NA,NA,Animalia,Isopoda,NA,Arthropoda,NA,NA,Eumalacostraca,NA,Sphaeromatidea,Crustacea,NA,NA,Multicrustacea,Sphaeromatoidea,Peracarida,NA
Stauromedusae,Staurozoa,NA,NA,NA,NA,Animalia,Stauromedusae,NA,Cnidaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stenothoidae,Malacostraca,Stenothoidae,NA,NA,Amphilochida,Animalia,Amphipoda,Amphilochidira,Arthropoda,NA,NA,Eumalacostraca,NA,Amphilochidea,Crustacea,NA,NA,Multicrustacea,Amphilochoidea,Peracarida,NA
Syllidae,Polychaeta,Syllidae,NA,NA,NA,Animalia,Phyllodocida,NA,Annelida,NA,NA,Errantia,NA,Nereidiformia,NA,NA,NA,NA,NA,NA,NA
Tegula funebralis,Gastropoda,Tegulidae,Tegula,NA,NA,Animalia,Trochida,NA,Mollusca,NA,Tegula funebralis,Vetigastropoda,NA,NA,NA,NA,NA,NA,Trochoidea,NA,NA
Terebellidae,Polychaeta,Terebellidae,NA,Canalipalpata,NA,Animalia,Terebellida,NA,Annelida,NA,NA,Sedentaria,NA,Terebellomorpha,NA,NA,NA,NA,NA,NA,NA
Thorlaksonius,Malacostraca,Pleustidae,Thorlaksonius,NA,Amphilochida,Animalia,Amphipoda,Amphilochidira,Arthropoda,NA,NA,Eumalacostraca,Pleustinae,Amphilochidea,Crustacea,NA,NA,Multicrustacea,Amphilochoidea,Peracarida,NA
Thorlaksonius subcarinatus,Malacostraca,Pleustidae,Thorlaksonius,NA,Amphilochida,Animalia,Amphipoda,Amphilochidira,Arthropoda,NA,Thorlaksonius subcarinatus,Eumalacostraca,Pleustinae,Amphilochidea,Crustacea,NA,NA,Multicrustacea,Amphilochoidea,Peracarida,NA
