"date","site","id","shoot.length","shoot.width","blades","biomass.shoot","microepiphyte.filter","macroepiphyte.shoot","smithora","year","microepiphyte","bryozoan","shoot.rep","sheath.length"
2016-06-28,"flat island","9",184.2,0.9,5,NA,17.0999999999999,NA,3.02,2016,3.29,NA,"3",NA
2016-06-30,"goose south west","1",76.2,0.6,4,NA,4.29999999999995,NA,NA,2016,0.69,NA,"3",NA
2016-06-30,"goose south west","2",69.2,0.6,5,NA,13,NA,NA,2016,0.89,NA,"3",NA
2016-06-30,"goose south west","3",73.2,0.8,5,NA,20.8000000000002,NA,NA,2016,1.12,NA,"3",NA
2016-06-30,"goose south west","4",76.9,0.6,5,NA,16.4000000000001,NA,NA,2016,0.94,NA,"3",NA
2016-06-30,"goose south west","5",96.1,0.8,6,NA,16.1000000000001,NA,NA,2016,1.58,NA,"3",NA
2016-06-30,"goose south west","6",72.8,0.6,7,NA,6.20000000000005,NA,NA,2016,1.09,NA,"3",NA
2016-06-30,"goose south west","7",90.4,0.9,6,NA,9.59999999999991,NA,NA,2016,1.92,NA,"3",NA
2016-06-30,"goose south west","8",130.7,0.8,6,NA,28.8,NA,NA,2016,3.07,NA,"3",NA
2016-06-30,"goose south west","9",59.9,0.6,5,NA,22.4000000000001,NA,NA,2016,1.07,NA,"3",NA
2016-06-02,"triquet north","1",118,0.7,5,NA,5.89999999999986,NA,NA,2016,0.8,NA,"3",NA
2016-06-02,"triquet north","2",82.9,0.8,4,NA,18.3999999999999,NA,NA,2016,1.14,NA,"3",NA
2016-06-02,"triquet north","3",31.2,0.4,2,NA,16.5999999999999,NA,NA,2016,0.39,NA,"3",NA
2016-06-02,"triquet north","4",133,0.8,5,NA,20.0999999999999,NA,NA,2016,2.09,NA,"3",NA
2016-06-02,"triquet north","5",102,0.7,5,NA,19.3,NA,NA,2016,1.25,NA,"3",NA
2016-06-02,"triquet north","6",83.3,0.8,5,NA,20.7,NA,NA,2016,1.24,NA,"3",NA
2016-06-02,"triquet north","7",68.6,0.8,5,NA,25.7,NA,NA,2016,0.85,NA,"3",NA
2016-06-02,"triquet north","8",107.9,0.7,4,NA,21.5,NA,NA,2016,1.03,NA,"3",NA
2016-06-02,"triquet north","9",46.6,0.8,4,NA,22.6000000000001,NA,NA,2016,2.12,NA,"3",NA
2016-07-02,"triquet bay","1",57.2,0.8,6,NA,12.5999999999999,NA,NA,2016,1.06,NA,"3",NA
2016-07-02,"triquet bay","2",34.6,0.6,5,NA,5.40000000000009,NA,NA,2016,0.39,NA,"3",NA
2016-07-02,"triquet bay","3",51.2,0.6,5,NA,5.29999999999995,NA,NA,2016,0.59,NA,"3",NA
2016-07-02,"triquet bay","4",43.2,0.5,4,NA,10.4000000000001,NA,NA,2016,0.26,NA,"3",NA
2016-07-02,"triquet bay","5",56.5,0.6,6,NA,7,NA,NA,2016,0.53,NA,"3",NA
2016-07-02,"triquet bay","6",44.6,0.6,4,NA,11.2,NA,NA,2016,0.43,NA,"3",NA
2016-07-02,"triquet bay","7",54.6,0.6,5,NA,27,NA,NA,2016,0.61,NA,"3",NA
2016-07-02,"triquet bay","8",57.7,0.7,4,NA,8,NA,NA,2016,0.74,NA,"3",NA
2016-07-02,"triquet bay","9",54.3,0.6,5,NA,17.1999999999998,NA,NA,2016,0.53,NA,"3",NA
2016-07-08,"pruth bay","1",95.3,0.7,4,NA,24.3999999999999,NA,NA,2016,1.32,NA,"3",NA
2016-07-08,"pruth bay","2",78,0.8,3,NA,24.5,NA,NA,2016,1.5,NA,"3",NA
2016-07-08,"pruth bay","3",72.7,0.6,4,NA,23,NA,NA,2016,0.5,NA,"3",NA
2016-07-08,"pruth bay","4",110.8,0.7,4,NA,28,NA,NA,2016,1.36,NA,"3",NA
2016-07-08,"pruth bay","5",98.7,0.7,3,NA,30.3999999999999,NA,NA,2016,1.09,NA,"3",NA
2016-07-08,"pruth bay","6",60.8,0.6,4,NA,26.1000000000001,NA,NA,2016,0.7,NA,"3",NA
2016-07-08,"pruth bay","7",71.6,0.5,4,NA,7.29999999999995,NA,NA,2016,0.31,NA,"3",NA
