"site_quadrat_id","SampleID","year","region","site","meso_quadrat_id","Bacillariophyceae","Thraustochytriaceae","Peronosporomycetes_uncultured","Prorocentrales","Fragilariales","Cercozoa_Novel_Clade_Gran-1","Monogononta","Vampyrellidae","Suctoria","Peritrichia","Salpingoecidae","Coscinodiscophytina","Craspedida","Labyrinthulaceae","Heterotrichea","Ulotrichales","Centrohelida_H15-6","Chytridiaceae","Pedinellales","Dactylopodida","Centrohelida_CV1-B1-93","Lobulomycetaceae","Chrysomerophyceae","Cercozoa_Incertae_Sedis","Cercozoa_Novel_Clade_Gran-3","Melosirids","Oligohymenophorea","Sarcinochrysidales","Cercozoa","Cyrtophoria","Olpidiopsis","Copepoda","Prymnesium","Gymnodiniphycidae"
"triquet_north_9","ZosTQNoldC16",2016,"triquet","triquet_north","9",9,17,42,696,15,2,0,3,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,45,12,0,25
"triquet_north_6","ZosTQNoldD16",2016,"triquet","triquet_north","6",0,1,6,916,3,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,54
"triquet_north_1","ZosTQNoldE16",2016,"triquet","triquet_north","1",0,4,171,160,2,0,49,0,0,0,0,0,0,0,0,0,0,11,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,403
"triquet_north_4","ZosTQNoldF16",2016,"triquet","triquet_north","4",0,0,134,621,16,0,54,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
"triquet_north_5","ZosTQNoldG16",2016,"triquet","triquet_north","5",1,0,15,571,6,0,52,0,0,0,0,0,0,0,0,0,0,4,66,0,0,0,0,0,0,0,0,0,0,0,0,2,0,73
"triquet_north_3","ZosTQNoldH16",2016,"triquet","triquet_north","3",145,9,34,317,64,2,19,22,0,63,0,0,0,0,17,0,12,1,2,10,0,0,0,0,0,7,5,0,0,0,0,89,0,25
"triquet_south_2","ZosTQSoldA16",2016,"triquet","triquet_south","2",15,8,8,588,34,0,28,19,0,1,0,0,2,0,0,2,0,5,5,1,0,0,0,0,1,0,0,0,0,0,0,3,0,194
"triquet_south_4","ZosTQSoldB16",2016,"triquet","triquet_south","4",11,4,3,572,13,1,52,10,6,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,3,0,0,5,0,0,0,13,0,196
"triquet_south_8","ZosTQSoldC16",2016,"triquet","triquet_south","8",0,0,3,459,20,0,27,0,0,5,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,314
"triquet_south_9","ZosTQSoldD16",2016,"triquet","triquet_south","9",0,1,22,757,2,0,68,0,0,0,0,0,0,0,0,1,0,24,18,0,0,0,0,0,0,0,0,0,0,0,7,65,0,18
"triquet_south_5","ZosTQSoldE16",2016,"triquet","triquet_south","5",15,7,24,634,13,0,65,7,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,4,0,0,4,6,0,93
"triquet_south_6","ZosTQSoldF16",2016,"triquet","triquet_south","6",2,0,11,860,0,0,72,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5
"triquet_south_1","ZosTQSoldG16",2016,"triquet","triquet_south","1",3,2,4,535,14,1,27,6,0,0,0,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,5,0,0,3,5,0,329
"triquet_south_3","ZosTQSoldH16",2016,"triquet","triquet_south","3",1,1,5,668,0,0,88,0,0,0,0,0,0,0,0,2,0,1,6,0,0,0,0,0,0,3,0,0,0,0,0,3,0,137
"choked_inner_3","ZosCIoldC17",2017,"choked","choked_inner","3",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,54,0,0
"choked_sandspit_5","ZosCSSoldE18",2017,"choked","choked_sandspit","5",0,245,19,0,0,17,9,0,36,0,0,0,38,42,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,98,374,0,0
"pruth_pocket_5","ZosPBPoldE18",2017,"pruth","pruth_pocket","5",65,0,0,21,50,18,15,311,49,0,0,102,27,40,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,237,0,0
"pruth_pocket_5","ZosPBPolEE17",2017,"pruth","pruth_pocket","5",11,385,0,11,36,142,0,109,8,29,5,0,8,0,88,0,0,11,0,0,0,0,0,26,0,0,0,0,1,0,0,8,0,0
"triquet_north_5","ZosTQNoldD17",2017,"triquet","triquet_north","5",56,70,33,590,3,4,0,10,11,0,2,0,2,82,0,0,3,8,0,0,0,0,0,0,2,8,0,0,0,0,0,70,0,0
