"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Accession"
"ASV3269","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae",NA,NA,NA
"ASV3271","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA,NA,NA
"ASV3321","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonaceae",NA,NA,NA
"ASV3324","Archaea","Crenarchaeota","Bathyarchaeia","uncultured_crenarchaeote","uncultured_crenarchaeote",NA,NA,NA
"ASV3368","Archaea","Nanoarchaeaeota","Woesearchaeia","uncultured_archaeon","uncultured_archaeon",NA,NA,NA
"ASV3378","Bacteria","Proteobacteria","Deltaproteobacteria","RCP2-54","uncultured_bacterium",NA,NA,NA
"ASV3384","Bacteria","Bacteroidetes","Ignavibacteria","SJA-28","uncultured_soil_bacterium",NA,NA,NA
"ASV3395","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade","uncultured_marine_bacterium",NA,NA,NA
"ASV3462","Bacteria","Chloroflexi","Anaerolineae","SBR1031","uncultured_Chloroflexi_bacterium",NA,NA,NA
"ASV3488","Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae",NA,NA,NA
"ASV3505","Bacteria","Spirochaetes","Leptospirae","Leptospirales","Leptospiraceae",NA,NA,NA
"ASV3510","Bacteria","Proteobacteria","Alphaproteobacteria","Kordiimonadales","Kordiimonadaceae",NA,NA,NA
"ASV3543","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39","uncultured_Mollicutes_bacterium",NA,NA,NA
"ASV3570","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41",NA,NA,NA
"ASV3614","Bacteria","Acidobacteria","Holophagae","Acanthopleuribacterales","Acanthopleuribacteraceae",NA,NA,NA
"ASV3622","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae",NA,NA,NA
"ASV3627","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae",NA,NA,NA
"ASV3655","Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41","uncultured_bacterium",NA,NA,NA
"ASV3657","Bacteria","Planctomycetes","Phycisphaerae","MSBL9","4572-13",NA,NA,NA
"ASV3704","Bacteria","Proteobacteria","Gammaproteobacteria","EPR3968-O8a-Bc78","uncultured_bacterium",NA,NA,NA
"ASV3714","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)",NA,NA,NA
"ASV3775","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oleiphilaceae",NA,NA,NA
"ASV3857","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","uncultured",NA,NA,NA
"ASV3880","Bacteria","Bacteroidetes","Ignavibacteria","Ignavibacteriales","PHOS-HE36",NA,NA,NA
"ASV3885","Bacteria","Nitrospirae","Thermodesulfovibrionia","uncultured","uncultured_bacterium",NA,NA,NA
"ASV3905","Bacteria","Planctomycetes","Pla4_lineage","uncultured_bacterium","uncultured_bacterium",NA,NA,NA
"ASV3925","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae",NA,NA,NA
"ASV3951","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA,NA,NA
"ASV3999","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Yanofskybacteria","uncultured_bacterium",NA,NA,NA
"ASV4080","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae",NA,NA,NA
"ASV4093","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA,NA
"ASV4113","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",NA,NA,NA
"ASV4119","Bacteria","Proteobacteria","Deltaproteobacteria","NB1-j","uncultured_sediment_bacterium",NA,NA,NA
"ASV4133","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324_clade(Marine_group_B)","uncultured_bacterium",NA,NA,NA
"ASV4183","Bacteria","Actinobacteria","WCHB1-81","uncultured_bacterium","uncultured_bacterium",NA,NA,NA
"ASV4195","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","possible_family_01",NA,NA,NA
"ASV1086","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae",NA,NA,NA
"ASV1390","Archaea","Euryarchaeota","Thermoplasmata","Marine_Group_II","uncultured_marine_archaeon",NA,NA,NA
"ASV1412","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae",NA,NA,NA
"ASV2306","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae",NA,NA,NA
"ASV2328","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA,NA,NA
"ASV2360","Bacteria","Proteobacteria","Alphaproteobacteria","Kordiimonadales","uncultured",NA,NA,NA
