sample_names(all_years_16S_filtered),year,growth
ZosPBSrhrB18,2018,NA
ZosPBSrhrC17,2017,NA
ZosPBSrhrC18,2018,NA
ZosPBSrhrD17,2017,NA
ZosPBSrhrD18,2018,NA
ZosPBSrhrE17,2017,NA
ZosPBSrhrE18,2018,NA
ZosPBSrhrF18,2018,NA
ZosPBSrzmB16,2016,NA
Zosrhzmunkn,2018,NA
ZosTQNnewA17,2017,new
ZosTQNnewB,2015,new
ZosTQNnewB16,2016,new
ZosTQNnewB18,2018,new
ZosTQNnewC,2015,new
ZosTQNnewC18,2018,new
ZosTQNnewD,2015,new
ZosTQNnewD16,2016,new
ZosTQNnewD17,2017,new
ZosTQNnewD18,2018,new
ZosTQNnewE16,2016,new
ZosTQNnewE17,2017,new
ZosTQNnewE18,2018,new
ZosTQNnewF,2015,new
ZosTQNnewF18,2018,new
ZosTQNnewH16,2016,new
ZosTQNoldA,2015,old
ZosTQNoldA16,2016,old
ZosTQNoldA17,2017,old
ZosTQNoldA18,2018,old
ZosTQNoldB,2015,old
ZosTQNoldB16,2016,old
ZosTQNoldB17,2017,old
ZosTQNoldB18,2018,old
ZosTQNoldC,2015,old
ZosTQNoldC16,2016,old
ZosTQNoldC17,2017,old
ZosTQNoldC18,2018,old
ZosTQNoldD,2015,old
ZosTQNoldD16,2016,old
ZosTQNoldD17,2017,old
ZosTQNoldD18,2018,old
ZosTQNoldE,2015,old
ZosTQNoldE16,2016,old
ZosTQNoldE18,2018,old
ZosTQNoldF,2015,old
ZosTQNoldF16,2016,old
ZosTQNoldF18,2018,old
ZosTQNoldG16,2016,old
ZosTQNoldH16,2016,old
ZosTQNolEE17,2017,old
ZosTQNrhrA17,2017,NA
ZosTQNrhrA18,2018,NA
ZosTQNrhrB17,2017,NA
ZosTQNrhrB18,2018,NA
ZosTQNrhrC17,2017,NA
ZosTQNrhrC18,2018,NA
ZosTQNrhrD17,2017,NA
ZosTQNrhrD18,2018,NA
ZosTQNrhrE17,2017,NA
ZosTQNrhrE18,2018,NA
ZosTQNrhrF18,2018,NA
ZosTQSnewA,2015,new
ZosTQSnewA16,2016,new
ZosTQSnewA18,2018,new
ZosTQSnewB,2015,new
ZosTQSnewB16,2016,new
ZosTQSnewB18,2018,new
ZosTQSnewC,2015,new
ZosTQSnewC18,2018,new
ZosTQSnewD,2015,new
ZosTQSnewD16,2016,new
ZosTQSnewE,2015,new
ZosTQSnewE18,2018,new
ZosTQSnewF,2015,new
ZosTQSnewF16,2016,new
ZosTQSnewF18,2018,new
ZosTQSnewG16,2016,new
ZosTQSnewH16,2016,new
ZosTQSoldA,2015,old
ZosTQSoldA16,2016,old
ZosTQSoldA17,2017,old
ZosTQSoldA18,2018,old
ZosTQSoldB,2015,old
ZosTQSoldB16,2016,old
ZosTQSoldB17,2017,old
ZosTQSoldB18,2018,old
ZosTQSoldC,2015,old
ZosTQSoldC16,2016,old
ZosTQSoldC17,2017,old
ZosTQSoldC18,2018,old
ZosTQSoldD,2015,old
